,lat,long,type
521,37.47401497,126.9929333,bus
522,37.48537946,127.0179388,bus
523,37.47793435,127.0073884,bus
524,37.49735209,126.9873957,bus
525,37.47387,126.99267,bus
526,37.48469042,127.0144161,bus
527,37.49034865,127.0196536,bus
528,37.46937835,127.0376391,bus
529,37.47811406,127.0066737,bus
530,37.49575506,126.9884202,bus
531,37.49162673,127.0167122,bus
532,37.47997968,127.0057881,bus
533,37.47828291,127.0394173,bus
534,37.48938589,127.0046592,bus
535,37.48182845,127.0049105,bus
536,37.49233164,126.9890027,bus
537,37.47977306,127.0409961,bus
538,37.45371948,127.0542431,bus
539,37.45402055,127.0544918,bus
540,37.48911269,126.9927571,bus
541,37.4916518,126.9872941,bus
542,37.48149371,127.0425654,bus
543,37.4903426,126.9919842,bus
544,37.48944118,126.9872029,bus
545,37.50723879,127.0080776,bus
546,37.4915455,126.9912295,bus
547,37.48777741,127.0128808,bus
548,37.4723874,127.0280446,bus
549,37.48721975,126.9823182,bus
550,37.48232264,127.0121304,bus
551,37.45370579,127.0593917,bus
552,37.4887642,127.0162017,bus
553,37.4936224,126.9863116,bus
554,37.48960936,127.019231,bus
555,37.46921992,127.0267622,bus
556,37.49538221,126.9858365,bus
557,37.46741933,127.027897,bus
558,37.49732421,126.9853154,bus
559,37.49916396,126.9983274,bus
560,37.49792258,126.9982808,bus
561,37.48668277,127.0289868,bus
562,37.45896925,127.0178449,bus
563,37.49628532,126.998154,bus
564,37.49492781,126.9974513,bus
565,37.49407593,126.9957632,bus
566,37.49376764,126.993531,bus
567,37.49316685,126.9911152,bus
568,37.47175986,127.050561,bus
569,37.48745523,126.9848837,bus
570,37.49156108,126.9872539,bus
571,37.50036913,126.996474,bus
572,37.47740893,126.9871009,bus
573,37.48416185,127.030607,bus
574,37.48121887,126.9964838,bus
575,37.49613599,127.019703,bus
576,37.49448592,127.0062918,bus
577,37.47450085,127.0002022,bus
578,37.47399115,127.0481394,bus
579,37.49116792,127.0268532,bus
580,37.48320205,127.004274,bus
581,37.47784126,126.9818045,bus
582,37.50440784,127.0012883,bus
583,37.485572,127.0040265,bus
584,37.50033855,127.0040276,bus
585,37.49800738,127.012734,bus
586,37.49329123,127.0213172,bus
587,37.50959872,126.9971307,bus
588,37.48350402,127.0421643,bus
589,37.47183935,127.0506326,bus
590,37.47440407,127.047859,bus
591,37.4771186,127.045055,bus
592,37.48474851,127.0362469,bus
593,37.48479347,127.0365903,bus
594,37.52371945,127.0155106,bus
